,language,title,timestamp,user,action,comment,type,level,expiry,article
32,en,David Ben-Gurion,2016-12-25 10:55:26,Samsara,protect,[[WP:ARBPIA3#500/30|New editors are prohibited from editing this Arab-Israeli conflict related page]]: via RfPP,"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,David_Ben-Gurion
33,en,David Ben-Gurion,2012-06-22 00:48:13,Elockid,protect,Persistent [[WP:Sock puppetry|sock puppetry]],,,2012-06-29 00:48:00,David_Ben-Gurion
34,en,David Ben-Gurion,2007-02-16 23:55:07,Mattflaschen,unprotect,too long,,,,David_Ben-Gurion
35,en,David Ben-Gurion,2006-12-24 04:57:52,Jayjg,protect,revert sockpuppet [edit=autoconfirmed:move=autoconfirmed],,,,David_Ben-Gurion
36,en,David Ben-Gurion,2006-12-14 00:13:10,Aaron Schulz,unprotect,Page protected for a while; hopefully protection is no longer necessary.,,,,David_Ben-Gurion
37,en,David Ben-Gurion,2006-11-28 18:53:12,Jayjg,protect,IP vandalism [edit=autoconfirmed:move=autoconfirmed],,,,David_Ben-Gurion
38,de,David Ben-Gurion,2010-08-03 09:07:02,Rbrausse,move_prot,"hat „[[David Ben Gurion]]“ nach „[[David Ben-Gurion]]“ verschoben: verbreitetere Schreibweise, siehe Disk",,,,David_Ben-Gurion
39,en,Yasser Arafat,2016-12-25 21:06:14,CambridgeBayWeather,modify,[[WP:30/500|Arbitration enforcement]],"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Yasser_Arafat
40,en,Yasser Arafat,2016-12-25 12:11:52,CambridgeBayWeather,modify,[[WP:30/500|Arbitration enforcement]],"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2017-12-25 12:11:00,Yasser_Arafat
41,en,Yasser Arafat,2011-05-11 11:03:56,Graeme Bartlett,modify,Persistent [[WP:Vandalism|vandalism]]: turn off pending changes,,,2029-12-31 23:59:59,Yasser_Arafat
42,en,Yasser Arafat,2010-06-21 19:16:11,Amalthea,modify,[[Wikipedia:Pending changes]] trial,,,2029-12-31 23:59:59,Yasser_Arafat
43,en,Yasser Arafat,2010-06-08 01:57:34,YellowMonkey,modify,entrenched vandalism,,,2010-09-08 01:57:00,Yasser_Arafat
44,en,Yasser Arafat,2009-02-06 16:11:58,PeterSymonds,protect,[[WP:MOVP|Highly visible page]],,,2029-12-31 23:59:59,Yasser_Arafat
45,en,Yasser Arafat,2008-04-07 06:30:09,El C,protect,"vandalism from multiple ips [edit=autoconfirmed:move=autoconfirmed] (expires 18:30, 7 April 2008 (UTC))",,,2008-04-07 18:30:00,Yasser_Arafat
46,en,Yasser Arafat,2007-12-08 23:17:11,AuburnPilot,protect,"on Main Page as Today's Featured Article - 12 December 2007 [move=sysop] (expires 00:00, 13 December 2007 (UTC))",,,2007-12-13 00:00:00,Yasser_Arafat
47,en,Yasser Arafat,2006-11-18 22:51:57,Nlu,protect,Roving IP vandalism/edit warring [edit=autoconfirmed:move=autoconfirmed],,,,Yasser_Arafat
48,en,Yasser Arafat,2006-03-14 03:13:53,Xaosflux,unprotect,"unprotect, spp should be remporary",,,,Yasser_Arafat
49,en,Yasser Arafat,2006-03-08 17:26:29,Jayjg,protect,Alberuni editing again [edit=autoconfirmed:move=autoconfirmed],,,,Yasser_Arafat
50,en,Yasser Arafat,2005-01-01 19:53:36,Michael Snow,unprotect,Happy New Year!,,,,Yasser_Arafat
51,en,Yasser Arafat,2004-12-31 00:23:30,Ugen64,protect,"sigh, revert war",,,,Yasser_Arafat
52,de,Jassir Arafat,2020-04-30 18:44:57,Zollernalb,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['sysop', 'sysop']",2020-05-07 18:44:00,Yasser_Arafat
53,de,Jassir Arafat,2019-12-25 20:43:29,Rmcharb,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['editeditorprotected', 'editeditorprotected']",2020-01-01 20:43:00,Yasser_Arafat
54,de,Jassir Arafat,2019-01-18 23:26:05,Dandelo,protect,Fortsetzung des letzten Editwars,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2019-04-18 22:26:00,Yasser_Arafat
55,de,Jassir Arafat,2018-10-11 13:16:11,Regi51,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2018-11-11 14:16:00,Yasser_Arafat
56,de,Jassir Arafat,2017-03-06 18:23:27,Wahldresdner,protect,[[WP:WAR|Edit-War]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2017-03-07 18:23:00,Yasser_Arafat
57,de,Jassir Arafat,2012-07-04 09:55:07,Flominator,unprotect,"siehe Disk, das war m.E. kein Vandalismus",,,,Yasser_Arafat
58,de,Jassir Arafat,2012-07-03 22:11:03,Zollernalb,protect,Wiederkehrender [[WP:Vd|Vandalismus]],,,2012-07-04 22:11:00,Yasser_Arafat
59,de,Jassir Arafat,2009-07-24 16:24:50,Leithian,protect,Wiederkehrender [[Wikipedia:Vandalismus|Vandalismus]],,,2009-07-31 16:24:00,Yasser_Arafat
60,de,Jassir Arafat,2007-03-03 15:34:05,Voyager,unprotect,war jetzt lange genug gesperrt,,,,Yasser_Arafat
61,de,Jassir Arafat,2006-06-11 18:52:42,Jergen,protect,T7-befall [edit=autoconfirmed:move=autoconfirmed],,,,Yasser_Arafat
62,ar,ياسر عرفات,2022-05-28 20:36:33,Ajwaan,protect,[[ويكيبيديا:تخريب|تخريب]] متكرر,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-06-28 20:36:00,Yasser_Arafat
63,ar,ياسر عرفات,2022-03-23 14:35:11,Ajwaan,protect,[[ويكيبيديا:تخريب|تخريب]] متكرر,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-04-23 14:35:00,Yasser_Arafat
64,ar,ياسر عرفات,2022-01-25 04:37:06,Dr-Taher,protect,[[ويكيبيديا:تخريب|تخريب]] متكرر,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-02-25 04:36:00,Yasser_Arafat
65,ar,ياسر عرفات,2021-05-20 11:51:47,فيصل,protect,[[ويكيبيديا:تخريب|تخريب]] متكرر,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2021-06-20 11:51:00,Yasser_Arafat
66,ar,ياسر عرفات,2008-12-14 20:29:27,Bassem JARKAS,protect,[[وب:تخريب|تخريب]] متكرر,,,2009-01-14 20:29:00,Yasser_Arafat
67,en,Six-Day War,2016-12-05 09:46:57,Renamed user mou89p43twvqcvm8ut9w3,modify,[[WP:30/500|Arbitration enforcement]]; [[WP:ARBPIA3#500/30]],"['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Six-Day_War
68,en,Six-Day War,2010-10-14 14:02:53,WGFinley,protect,Excessive [[WP:SOCK|sock puppetry]],,,2029-12-31 23:59:59,Six-Day_War
69,en,Six-Day War,2010-08-17 14:17:53,Tariqabjotu,protect,"while i admire the courage to do anything other than protect the article, there are just too many editors available; if people can't make any changes to the article without discussion, it might as well be protected",,,2010-09-17 14:17:00,Six-Day_War
70,en,Six-Day War,2010-07-31 16:21:00,WGFinley,unprotect,[[Wikipedia:Pending changes|Pending changes]] trial,,,,Six-Day_War
71,en,Six-Day War,2010-07-16 23:42:07,Tariqabjotu,protect,nothing but edit-warring over the past several days,,,2010-07-21 23:42:00,Six-Day_War
72,en,Six-Day War,2010-06-01 18:40:23,Elockid,protect,Excessive [[WP:VAN|vandalism]],,,2010-06-04 18:40:00,Six-Day_War
