,user,timestamp,size,reverted,reversion,article,language,total_edits,article_edits
190,Meno25,2022-02-22 13:41:26,52947,0,0,Palestinian_cuisine,ar,259277,4
191,JarBot,2021-09-01 04:20:21,17318,0,0,Palestinian_cuisine,ar,17592533,20
192,موسى,2021-07-23 23:41:34,17316,0,1,Palestinian_cuisine,ar,10153,2
193,Moayad283801,2021-07-23 20:56:18,16137,1,0,Palestinian_cuisine,ar,155,11
194,Moayad283801,2021-07-23 20:55:04,16277,1,0,Palestinian_cuisine,ar,155,11
195,Moayad283801,2021-07-23 20:52:10,16934,1,0,Palestinian_cuisine,ar,155,11
196,Moayad283801,2021-07-23 20:50:16,16985,1,0,Palestinian_cuisine,ar,155,11
197,109.107.226.144,2021-07-23 20:49:06,16987,1,0,Palestinian_cuisine,ar,0,1
198,فاطمة الزهراء,2021-07-21 13:19:13,17316,0,0,Palestinian_cuisine,ar,35818,1
199,Moayad283801,2021-07-21 13:09:45,17147,1,0,Palestinian_cuisine,ar,155,11
200,Moayad283801,2021-07-21 13:08:54,17138,1,0,Palestinian_cuisine,ar,155,11
201,Moayad283801,2021-07-21 13:07:58,17200,1,0,Palestinian_cuisine,ar,155,11
202,موسى,2021-06-15 12:28:10,17316,0,1,Palestinian_cuisine,ar,10153,2
203,176.29.48.189,2021-06-15 11:52:18,17272,1,0,Palestinian_cuisine,ar,0,1
204,تالا,2021-05-13 01:20:05,17316,0,0,Palestinian_cuisine,ar,7898,5
205,تالا,2021-05-13 01:19:37,17344,0,0,Palestinian_cuisine,ar,7898,5
206,تالا,2021-05-09 21:33:28,16849,0,0,Palestinian_cuisine,ar,7898,5
207,Osps7,2021-04-27 14:42:04,16778,0,0,Palestinian_cuisine,ar,34455,5
208,Osps7,2021-04-20 20:26:53,16652,0,0,Palestinian_cuisine,ar,34455,5
209,Osps7,2021-04-16 22:58:18,16556,0,0,Palestinian_cuisine,ar,34455,5
210,تالا,2021-04-15 17:29:15,16456,0,0,Palestinian_cuisine,ar,7898,5
211,تالا,2021-04-15 16:15:11,16456,0,0,Palestinian_cuisine,ar,7898,5
212,أمين,2021-02-17 14:15:00,16382,0,1,Palestinian_cuisine,ar,36701,2
213,JarBot,2021-02-17 13:40:28,16377,1,0,Palestinian_cuisine,ar,17592533,20
214,37.202.123.37,2021-02-17 13:33:20,16385,1,0,Palestinian_cuisine,ar,0,1
215,وسام,2021-01-13 02:00:23,16382,0,1,Palestinian_cuisine,ar,114741,5
216,92.253.15.234,2021-01-13 01:55:53,16548,1,0,Palestinian_cuisine,ar,0,1
217,2.53.24.116,2020-12-23 17:45:02,16397,1,0,Palestinian_cuisine,ar,0,1
218,Mr.Ibrahembot,2020-11-05 14:21:47,16382,0,0,Palestinian_cuisine,ar,10645694,7
219,JarBot,2020-10-05 18:53:27,16356,0,0,Palestinian_cuisine,ar,17592533,20
220,JarBot,2020-09-26 12:52:21,16330,0,0,Palestinian_cuisine,ar,17592533,20
221,إسلام,2020-09-26 12:37:34,16308,0,0,Palestinian_cuisine,ar,113657,1
222,JarBot,2020-09-26 12:09:34,16352,1,0,Palestinian_cuisine,ar,17592533,20
223,JarBot,2020-08-21 13:04:19,16334,1,0,Palestinian_cuisine,ar,17592533,20
224,وسام,2020-06-14 17:42:38,16308,0,0,Palestinian_cuisine,ar,114741,5
225,2.53.155.83,2020-06-14 17:10:13,16345,0,0,Palestinian_cuisine,ar,0,1
226,صالح,2020-05-23 10:21:22,16308,0,0,Palestinian_cuisine,ar,134216,2
227,صالح,2020-05-23 10:13:44,16446,0,0,Palestinian_cuisine,ar,134216,2
228,JarBot,2020-05-20 14:51:47,16437,0,0,Palestinian_cuisine,ar,17592533,20
229,Tareksa,2020-05-20 14:47:54,16445,0,0,Palestinian_cuisine,ar,56,2
230,Tareksa,2020-05-20 14:47:13,16426,0,0,Palestinian_cuisine,ar,56,2
231,Mr.Ibrahembot,2020-05-05 11:29:25,16321,0,0,Palestinian_cuisine,ar,10645694,7
232,وسام,2020-05-03 13:30:46,16257,0,0,Palestinian_cuisine,ar,114741,5
233,وسام,2020-05-03 13:30:12,16849,0,0,Palestinian_cuisine,ar,114741,5
234,41.34.161.79,2020-05-03 13:28:38,16926,0,0,Palestinian_cuisine,ar,0,1
235,JarBot,2020-04-27 02:59:18,16849,0,0,Palestinian_cuisine,ar,17592533,20
236,2A02:ED0:53DF:7D00:9001:E57B:4400:608B,2020-04-26 13:53:37,16855,0,0,Palestinian_cuisine,ar,0,1
237,Mr.Ibrahembot,2020-03-05 18:33:35,16257,0,0,Palestinian_cuisine,ar,10645694,7
238,Aelita14,2020-01-16 17:16:42,16235,0,0,Palestinian_cuisine,ar,32334,1
239,وسام,2019-12-29 18:45:41,16185,0,0,Palestinian_cuisine,ar,114741,5
240,Dmdwm81,2019-12-29 18:42:50,16225,0,0,Palestinian_cuisine,ar,4,1
241,JarBot,2019-09-11 23:41:06,16185,0,0,Palestinian_cuisine,ar,17592533,20
242,JarBot,2019-09-11 23:39:22,15970,0,0,Palestinian_cuisine,ar,17592533,20
243,JarBot,2019-09-05 06:48:48,15819,0,0,Palestinian_cuisine,ar,17592533,20
244,JarBot,2019-08-05 19:38:43,15271,0,0,Palestinian_cuisine,ar,17592533,20
245,MenoBot,2019-04-28 07:25:50,15315,0,0,Palestinian_cuisine,ar,2575274,11
246,Jobas1,2019-04-10 12:50:14,15355,0,0,Palestinian_cuisine,ar,74798,3
247,46.32.125.118,2019-04-10 03:48:39,15354,0,0,Palestinian_cuisine,ar,0,1
248,Mr.Ibrahembot,2019-04-05 04:16:23,15355,0,0,Palestinian_cuisine,ar,10645694,7
249,أبو آسر,2019-04-01 09:53:14,15329,0,0,Palestinian_cuisine,ar,15539,1
250,141.226.13.207,2019-03-30 17:19:40,15582,0,0,Palestinian_cuisine,ar,0,2
251,141.226.13.207,2019-03-30 17:17:08,15590,0,0,Palestinian_cuisine,ar,0,2
252,أمين,2019-01-16 13:09:46,15329,0,0,Palestinian_cuisine,ar,36701,2
253,84.100.217.26,2019-01-16 12:56:14,15696,0,0,Palestinian_cuisine,ar,0,1
254,Mohammed77779,2018-10-25 00:09:34,15193,0,0,Palestinian_cuisine,ar,14005,1
255,مُشْعِل القُباطي,2018-09-25 14:30:42,15193,0,0,Palestinian_cuisine,ar,12845,8
256,مُشْعِل القُباطي,2018-09-25 14:29:38,15258,0,0,Palestinian_cuisine,ar,12845,8
257,مُشْعِل القُباطي,2018-09-25 14:27:29,15260,0,0,Palestinian_cuisine,ar,12845,8
258,مُشْعِل القُباطي,2018-09-25 14:26:06,15265,0,0,Palestinian_cuisine,ar,12845,8
259,مُشْعِل القُباطي,2018-09-25 14:23:42,15280,0,0,Palestinian_cuisine,ar,12845,8
260,مُشْعِل القُباطي,2018-09-25 14:20:09,15281,0,0,Palestinian_cuisine,ar,12845,8
261,مُشْعِل القُباطي,2018-09-25 14:18:07,15257,0,0,Palestinian_cuisine,ar,12845,8
262,مُشْعِل القُباطي,2018-09-25 14:17:44,15256,0,0,Palestinian_cuisine,ar,12845,8
263,Jobas1,2018-06-18 15:35:52,15220,0,0,Palestinian_cuisine,ar,74798,3
264,JarBot,2018-05-11 16:13:18,15390,0,0,Palestinian_cuisine,ar,17592533,20
265,Essa Rami,2018-05-07 19:12:31,15390,0,0,Palestinian_cuisine,ar,2,1
266,JarBot,2018-03-09 02:08:44,15220,0,0,Palestinian_cuisine,ar,17592533,20
267,JarBot,2018-03-09 00:01:55,14364,0,0,Palestinian_cuisine,ar,17592533,20
268,JarBot,2018-03-08 19:08:09,14443,0,0,Palestinian_cuisine,ar,17592533,20
269,JarBot,2018-01-30 06:11:36,14484,0,0,Palestinian_cuisine,ar,17592533,20
270,JarBot,2017-12-23 21:40:31,14551,0,0,Palestinian_cuisine,ar,17592533,20
271,Dianaalsadi123,2017-12-23 21:24:21,14547,0,0,Palestinian_cuisine,ar,183,1
272,Jobas1,2017-12-07 15:02:43,14734,0,0,Palestinian_cuisine,ar,74798,3
273,Kitchenps,2017-11-30 11:20:39,16999,0,0,Palestinian_cuisine,ar,2,1
274,MenoBot,2017-09-19 11:27:42,16084,0,0,Palestinian_cuisine,ar,2575274,11
275,Lord Haytham,2017-09-17 17:42:23,16112,0,0,Palestinian_cuisine,ar,3,1
276,31.210.187.72,2017-05-13 11:00:40,15986,0,0,Palestinian_cuisine,ar,0,1
277,Mr.Ibrahembot,2017-04-06 09:40:29,16158,0,0,Palestinian_cuisine,ar,10645694,7
278,Palestine kitchen,2017-03-03 05:35:21,16154,0,0,Palestinian_cuisine,ar,1,1
279,46.244.95.106,2017-02-08 19:18:41,16100,0,0,Palestinian_cuisine,ar,0,1
280,Liangent-bot,2017-01-17 21:59:15,14734,0,0,Palestinian_cuisine,ar,12862,1
281,JarBot,2017-01-05 02:08:25,14803,0,0,Palestinian_cuisine,ar,17592533,20
282,HailesG,2016-11-19 17:29:52,14764,0,0,Palestinian_cuisine,ar,13172,1
283,Anassjerjawi,2016-11-17 08:14:09,14747,0,0,Palestinian_cuisine,ar,211,2
284,Anassjerjawi,2016-11-16 09:22:17,14312,0,0,Palestinian_cuisine,ar,211,2
285,Elhegamohamed,2016-11-02 16:21:23,14205,0,0,Palestinian_cuisine,ar,231,1
286,Mervat,2016-10-16 06:35:36,14201,0,0,Palestinian_cuisine,ar,171122,1
