,user,timestamp,size,reverted,reversion,article,language,total_edits,article_edits
0,أبو آسر,2024-05-30 18:28:01,30022,0,0,Culture_of_Palestine,ar,15539,2
1,Awartania,2024-05-29 21:26:29,30026,1,0,Culture_of_Palestine,ar,5793,2
2,كريم رائد,2024-05-23 17:43:45,30022,0,0,Culture_of_Palestine,ar,58383,2
3,41.92.57.204,2024-05-23 17:30:14,29931,1,0,Culture_of_Palestine,ar,0,4
4,كريم رائد,2024-05-23 17:22:11,30022,0,1,Culture_of_Palestine,ar,58383,2
5,41.92.57.204,2024-05-23 17:17:55,29540,1,0,Culture_of_Palestine,ar,0,4
6,41.92.57.204,2024-05-23 17:17:17,29622,1,0,Culture_of_Palestine,ar,0,4
7,41.92.57.204,2024-05-23 17:15:45,29817,1,0,Culture_of_Palestine,ar,0,4
8,أبو آسر,2024-02-16 18:58:39,30022,0,0,Culture_of_Palestine,ar,15539,2
9,2A02:2908:5102:AB53:B11D:2132:49C1:B77B,2024-02-16 09:10:41,30045,1,0,Culture_of_Palestine,ar,0,1
10,Mr.Karhi,2024-02-02 21:50:29,30022,0,0,Culture_of_Palestine,ar,34630,2
11,Awartania,2024-01-28 21:20:22,30040,0,0,Culture_of_Palestine,ar,5793,2
12,Mr.Ibrahembot,2023-04-19 19:56:23,30010,0,0,Culture_of_Palestine,ar,10645694,4
13,Mr.Ibrahembot,2023-04-19 19:56:20,29960,0,0,Culture_of_Palestine,ar,10645694,4
14,Hasanisawi,2023-04-19 19:55:44,29931,0,0,Culture_of_Palestine,ar,10497,1
15,MenoBot,2022-12-28 13:24:07,29795,0,0,Culture_of_Palestine,ar,2575274,6
16,Osps7,2022-12-20 20:15:12,29812,0,1,Culture_of_Palestine,ar,34455,1
17,M sh شراونة محمد,2022-12-20 15:56:41,29837,1,0,Culture_of_Palestine,ar,10731,1
18,MenoBot,2022-12-13 03:13:12,29812,0,0,Culture_of_Palestine,ar,2575274,6
19,MenoBot,2022-12-05 15:48:44,29761,0,0,Culture_of_Palestine,ar,2575274,6
20,JarBot,2022-11-04 10:53:53,29767,0,0,Culture_of_Palestine,ar,17592533,15
21,MaraBot,2022-08-31 18:45:51,29701,0,0,Culture_of_Palestine,ar,990970,3
22,JarBot,2022-07-02 14:14:07,29530,0,0,Culture_of_Palestine,ar,17592533,15
23,JarBot,2022-03-01 07:49:31,29535,0,0,Culture_of_Palestine,ar,17592533,15
24,MenoBot,2021-11-07 09:33:50,29509,0,0,Culture_of_Palestine,ar,2575274,6
25,JarBot,2021-05-04 05:28:20,29555,0,0,Culture_of_Palestine,ar,17592533,15
26,JarBot,2021-04-10 11:00:54,29489,0,0,Culture_of_Palestine,ar,17592533,15
27,Mr.Karhi,2021-01-08 19:48:19,29461,0,0,Culture_of_Palestine,ar,34630,2
28,MenoBot,2020-09-12 10:37:41,29457,0,0,Culture_of_Palestine,ar,2575274,6
29,JarBot,2020-08-31 23:22:36,29458,0,0,Culture_of_Palestine,ar,17592533,15
30,JarBot,2020-05-31 11:11:46,29549,0,0,Culture_of_Palestine,ar,17592533,15
31,لمياء حجازي,2020-05-29 09:09:47,29552,0,0,Culture_of_Palestine,ar,1133,1
32,JarBot,2020-05-23 12:58:11,29550,0,0,Culture_of_Palestine,ar,17592533,15
33,صالح,2020-05-23 12:51:02,29185,0,0,Culture_of_Palestine,ar,134216,2
34,JarBot,2020-04-26 14:44:28,29176,0,0,Culture_of_Palestine,ar,17592533,15
35,مصعب العبود,2020-04-24 17:39:04,29155,0,0,Culture_of_Palestine,ar,42976,1
36,JarBot,2020-03-12 02:01:00,29155,0,0,Culture_of_Palestine,ar,17592533,15
37,JarBot,2019-09-18 15:09:17,29137,0,0,Culture_of_Palestine,ar,17592533,15
38,JarBot,2019-09-05 10:29:01,29138,0,0,Culture_of_Palestine,ar,17592533,15
39,جار الله,2019-08-20 23:14:41,29124,0,0,Culture_of_Palestine,ar,219488,1
40,JarBot,2019-05-23 07:18:58,29100,0,0,Culture_of_Palestine,ar,17592533,15
41,Jobas1,2019-03-03 20:07:42,28590,0,0,Culture_of_Palestine,ar,74798,1
42,أمين,2019-01-16 13:10:41,28594,0,0,Culture_of_Palestine,ar,36701,1
43,84.100.217.26,2019-01-16 12:57:00,29961,0,0,Culture_of_Palestine,ar,0,1
44,Abu aamir,2018-12-06 11:27:37,28312,0,0,Culture_of_Palestine,ar,35493,1
45,94.249.119.20,2018-12-06 11:26:53,28331,0,0,Culture_of_Palestine,ar,0,1
46,علاء,2018-11-20 15:12:37,28312,0,0,Culture_of_Palestine,ar,215608,1
47,37.202.123.106,2018-11-20 15:11:49,27682,0,0,Culture_of_Palestine,ar,0,1
48,صالح,2018-11-04 18:29:08,28312,0,0,Culture_of_Palestine,ar,134216,2
49,5.193.13.138,2018-11-04 16:32:00,28338,0,0,Culture_of_Palestine,ar,0,1
50,Mr.Ibrahembot,2018-02-09 17:24:29,28312,0,0,Culture_of_Palestine,ar,10645694,4
51,JarBot,2018-01-26 13:42:15,28261,0,0,Culture_of_Palestine,ar,17592533,15
52,Freedom's Falcon,2017-09-04 19:53:05,27766,0,0,Culture_of_Palestine,ar,22474,23
53,W0,2017-06-21 13:17:12,27702,0,0,Culture_of_Palestine,ar,11153,1
54,188.247.77.178,2017-06-21 13:15:04,27717,0,0,Culture_of_Palestine,ar,0,1
55,212.34.22.185,2017-05-29 12:13:47,26375,0,0,Culture_of_Palestine,ar,0,1
56,Rachmat04,2017-03-01 12:41:18,27702,0,0,Culture_of_Palestine,ar,209,1
57,Ibrahim.ID,2016-10-05 15:05:49,27703,0,0,Culture_of_Palestine,ar,40154,1
58,JarBot,2016-09-19 23:23:41,27703,0,0,Culture_of_Palestine,ar,17592533,15
59,Mr.Ibrahembot,2016-09-09 18:28:21,27725,0,0,Culture_of_Palestine,ar,10645694,4
60,ZkBot,2016-06-30 22:50:23,27568,0,0,Culture_of_Palestine,ar,2140655,3
61,Jobas,2016-02-10 22:54:16,27641,0,0,Culture_of_Palestine,ar,88721,4
62,Ammer emmran,2016-01-28 16:54:14,27642,0,0,Culture_of_Palestine,ar,9,1
63,Jobas,2015-11-16 20:32:49,27641,0,0,Culture_of_Palestine,ar,88721,4
64,188.161.50.62,2015-11-16 19:36:45,28293,0,0,Culture_of_Palestine,ar,0,1
65,83.111.97.58,2015-11-03 06:23:15,28294,0,0,Culture_of_Palestine,ar,0,1
66,Ashalabe,2015-10-07 10:05:13,28079,0,0,Culture_of_Palestine,ar,11,3
67,Ashalabe,2015-10-07 09:46:46,28034,0,0,Culture_of_Palestine,ar,11,3
68,Ashalabe,2015-10-07 09:45:00,28032,0,0,Culture_of_Palestine,ar,11,3
69,Ahmad Halaweh Halaweh,2015-07-19 06:54:39,28030,0,0,Culture_of_Palestine,ar,3,2
70,Ahmad Halaweh Halaweh,2015-07-19 06:50:23,27677,0,0,Culture_of_Palestine,ar,3,2
71,MaraBot,2015-04-10 15:27:55,27641,0,0,Culture_of_Palestine,ar,990970,3
72,MaraBot,2015-03-18 00:28:19,27630,0,0,Culture_of_Palestine,ar,990970,3
73,Bakkouz,2015-02-17 06:39:30,27590,0,0,Culture_of_Palestine,ar,17042,1
74,Jobas,2014-12-28 01:10:06,27590,0,0,Culture_of_Palestine,ar,88721,4
75,176.45.233.217,2014-12-27 22:05:46,28962,0,0,Culture_of_Palestine,ar,0,1
76,Kolega2357,2014-04-05 20:57:46,27590,0,0,Culture_of_Palestine,ar,6269,1
77,Mohammedbas,2014-03-27 20:09:17,27602,0,0,Culture_of_Palestine,ar,8720,1
78,ZkBot,2014-02-24 18:55:40,27590,0,0,Culture_of_Palestine,ar,2140655,3
79,Zaher.Kadour,2013-12-24 08:42:27,27602,0,0,Culture_of_Palestine,ar,46635,1
80,Mervat,2013-10-08 14:41:36,27504,0,0,Culture_of_Palestine,ar,171122,1
81,ZkBot,2013-09-13 09:47:20,27515,0,0,Culture_of_Palestine,ar,2140655,3
82,Jobas,2013-05-19 15:34:35,27526,0,0,Culture_of_Palestine,ar,88721,4
83,176.205.20.30,2013-05-19 14:45:18,27098,0,0,Culture_of_Palestine,ar,0,1
84,Addbot,2013-03-11 21:07:40,27526,0,0,Culture_of_Palestine,ar,176159,1
85,MerlIwBot,2013-02-05 02:09:48,27612,0,0,Culture_of_Palestine,ar,139660,1
86,ElphiBot,2012-11-13 01:00:13,27618,0,0,Culture_of_Palestine,ar,606816,2
87,90.148.119.98,2012-06-22 08:07:03,27572,0,0,Culture_of_Palestine,ar,0,1
88,CipherBot,2012-04-06 06:25:49,27561,0,0,Culture_of_Palestine,ar,916418,12
89,ElphiBot,2012-03-09 18:54:03,27563,0,0,Culture_of_Palestine,ar,606816,2
90,3Princip,2012-03-04 02:36:34,27526,0,0,Culture_of_Palestine,ar,1682,3
91,3Princip,2012-03-04 02:22:41,27573,0,0,Culture_of_Palestine,ar,1682,3
92,3Princip,2012-03-04 02:11:13,27549,0,0,Culture_of_Palestine,ar,1682,3
93,SharafBot,2011-10-16 05:15:13,27446,0,0,Culture_of_Palestine,ar,27800,1
94,213.244.124.19,2011-06-27 06:36:47,27402,0,0,Culture_of_Palestine,ar,0,1
95,AkhtaBot,2011-04-02 09:00:54,27402,0,0,Culture_of_Palestine,ar,66754,2
96,LucienBOT,2011-03-07 01:20:27,27402,0,0,Culture_of_Palestine,ar,10653,1
97,CipherBot,2011-01-25 08:20:07,27374,0,0,Culture_of_Palestine,ar,916418,12
98,CipherBot,2010-11-20 01:53:38,27387,0,0,Culture_of_Palestine,ar,916418,12
99,Helmoony,2010-11-08 19:16:50,27386,0,0,Culture_of_Palestine,ar,73916,3
100,98.117.76.148,2010-10-31 16:01:58,27348,0,0,Culture_of_Palestine,ar,0,1
101,Mabujoudeh,2010-10-31 05:31:00,26590,0,0,Culture_of_Palestine,ar,8,2
102,Mabujoudeh,2010-10-31 04:23:27,26497,0,0,Culture_of_Palestine,ar,8,2
103,Helmoony,2010-08-27 16:27:46,25886,0,0,Culture_of_Palestine,ar,73916,3
104,حسن علي البط,2010-05-09 06:53:44,25914,0,0,Culture_of_Palestine,ar,195047,1
105,Helmoony,2010-03-07 02:00:29,25907,0,0,Culture_of_Palestine,ar,73916,3
106,CipherBot,2010-02-22 17:18:59,25903,0,0,Culture_of_Palestine,ar,916418,12
107,CipherBot,2010-01-23 07:46:07,25902,0,0,Culture_of_Palestine,ar,916418,12
108,MenoBot,2009-12-07 09:57:47,26048,0,0,Culture_of_Palestine,ar,2575274,6
109,Amadh,2009-09-15 18:08:27,26045,0,0,Culture_of_Palestine,ar,47,1
110,CipherBot,2009-08-03 22:07:22,26009,0,0,Culture_of_Palestine,ar,916418,12
111,CipherBot,2009-07-18 08:33:45,26009,0,0,Culture_of_Palestine,ar,916418,12
112,CipherBot,2009-07-16 08:13:42,26009,0,0,Culture_of_Palestine,ar,916418,12
113,CipherBot,2009-07-15 00:57:34,26009,0,0,Culture_of_Palestine,ar,916418,12
114,CipherBot,2009-07-11 22:46:47,26009,0,0,Culture_of_Palestine,ar,916418,12
115,CipherBot,2009-07-10 23:08:20,26009,0,0,Culture_of_Palestine,ar,916418,12
116,Maher27777,2009-07-07 19:29:40,26017,0,0,Culture_of_Palestine,ar,52533,2
117,Maher27777,2009-07-06 17:27:59,25961,0,0,Culture_of_Palestine,ar,52533,2
118,CipherBot,2009-06-18 02:26:11,25870,0,0,Culture_of_Palestine,ar,916418,12
119,220.231.214.189,2009-06-02 16:25:40,25608,0,0,Culture_of_Palestine,ar,0,1
120,Safirsawtak,2009-04-13 13:23:10,25385,0,0,Culture_of_Palestine,ar,3585,1
121,Freedom's Falcon,2009-02-24 11:11:52,25300,0,0,Culture_of_Palestine,ar,22474,23
122,Freedom's Falcon,2009-02-24 11:11:19,25298,0,0,Culture_of_Palestine,ar,22474,23
123,AlnoktaBOT,2009-02-17 20:42:19,25248,0,0,Culture_of_Palestine,ar,111901,1
124,OKBot,2009-02-03 06:36:07,25250,0,0,Culture_of_Palestine,ar,298388,2
125,Freedom's Falcon,2009-01-31 13:00:20,25250,0,0,Culture_of_Palestine,ar,22474,23
126,Freedom's Falcon,2009-01-31 12:49:51,26732,0,0,Culture_of_Palestine,ar,22474,23
127,Freedom's Falcon,2009-01-17 23:00:37,19876,0,0,Culture_of_Palestine,ar,22474,23
128,Freedom's Falcon,2009-01-17 23:00:05,19876,0,0,Culture_of_Palestine,ar,22474,23
129,OKBot,2009-01-15 22:08:41,19801,0,0,Culture_of_Palestine,ar,298388,2
130,Freedom's Falcon,2009-01-13 11:49:22,19802,0,0,Culture_of_Palestine,ar,22474,23
131,Freedom's Falcon,2009-01-13 11:49:03,19802,0,0,Culture_of_Palestine,ar,22474,23
132,Freedom's Falcon,2009-01-13 11:48:35,19802,0,0,Culture_of_Palestine,ar,22474,23
133,Freedom's Falcon,2009-01-13 11:48:13,19802,0,0,Culture_of_Palestine,ar,22474,23
134,Freedom's Falcon,2009-01-13 11:46:59,19803,0,0,Culture_of_Palestine,ar,22474,23
135,Freedom's Falcon,2009-01-13 11:46:15,19803,0,0,Culture_of_Palestine,ar,22474,23
136,Freedom's Falcon,2009-01-13 11:32:28,19683,0,0,Culture_of_Palestine,ar,22474,23
137,Elmoro,2009-01-05 11:36:21,19714,0,0,Culture_of_Palestine,ar,58877,1
138,87.238.134.91,2009-01-05 11:20:39,19710,0,0,Culture_of_Palestine,ar,0,7
139,87.238.134.91,2009-01-05 11:16:24,19387,0,0,Culture_of_Palestine,ar,0,7
140,87.238.134.91,2009-01-05 11:14:17,19379,0,0,Culture_of_Palestine,ar,0,7
141,87.238.134.91,2009-01-05 11:13:22,19371,0,0,Culture_of_Palestine,ar,0,7
142,87.238.134.91,2009-01-05 11:12:50,19372,0,0,Culture_of_Palestine,ar,0,7
143,87.238.134.91,2009-01-05 11:08:06,16626,0,0,Culture_of_Palestine,ar,0,7
144,87.238.134.91,2009-01-05 11:05:24,16618,0,0,Culture_of_Palestine,ar,0,7
145,80.90.175.124,2008-11-19 00:14:19,16671,0,0,Culture_of_Palestine,ar,0,2
146,80.90.175.124,2008-11-19 00:13:22,16708,0,0,Culture_of_Palestine,ar,0,2
147,Freedom's Falcon,2008-11-09 19:58:13,16671,0,0,Culture_of_Palestine,ar,22474,23
148,Freedom's Falcon,2008-11-09 19:57:52,16663,0,0,Culture_of_Palestine,ar,22474,23
149,CommonsDelinker,2008-11-08 22:19:10,16575,0,0,Culture_of_Palestine,ar,82365,1
150,Freedom's Falcon,2008-11-05 20:50:58,16679,0,0,Culture_of_Palestine,ar,22474,23
151,Freedom's Falcon,2008-11-05 19:27:45,16640,0,0,Culture_of_Palestine,ar,22474,23
152,AkhtaBot,2008-11-05 05:30:00,16611,0,0,Culture_of_Palestine,ar,66754,2
153,Freedom's Falcon,2008-11-04 21:15:11,16611,0,0,Culture_of_Palestine,ar,22474,23
154,Freedom's Falcon,2008-11-04 21:08:27,16583,0,0,Culture_of_Palestine,ar,22474,23
155,Freedom's Falcon,2008-11-04 18:43:17,16564,0,0,Culture_of_Palestine,ar,22474,23
156,80.90.175.119,2008-11-04 18:38:53,16394,0,0,Culture_of_Palestine,ar,0,2
157,80.90.175.119,2008-11-04 18:37:59,16386,0,0,Culture_of_Palestine,ar,0,2
158,Freedom's Falcon,2008-11-04 18:25:36,16288,0,0,Culture_of_Palestine,ar,22474,23
159,محمد أحمد عبد الفتاح,2008-11-04 18:12:57,14340,0,0,Culture_of_Palestine,ar,154345,1
160,Freedom's Falcon,2008-11-04 18:11:46,14311,0,0,Culture_of_Palestine,ar,22474,23
161,MaraBot,2024-04-19 12:31:50,56444,0,0,Palestinian_cuisine,ar,990970,4
162,Batoul84,2024-03-24 08:16:26,56420,0,1,Palestinian_cuisine,ar,3785,2
163,Mokatrs,2024-03-24 02:37:37,56414,1,0,Palestinian_cuisine,ar,6,1
164,Mr.Ibrahembot,2024-03-24 01:36:08,56420,0,0,Palestinian_cuisine,ar,10645694,7
165,Mr.Ibrahembot,2024-03-23 18:21:11,56220,0,0,Palestinian_cuisine,ar,10645694,7
166,Batoul84,2024-03-23 18:20:01,55756,0,0,Palestinian_cuisine,ar,3785,2
167,Rami alrifai,2024-02-09 15:23:14,55732,0,0,Palestinian_cuisine,ar,9547,1
168,GergesBot,2023-09-21 10:09:02,52266,0,0,Palestinian_cuisine,ar,13390,1
169,MenoBot,2023-06-13 17:56:19,52274,0,0,Palestinian_cuisine,ar,2575274,11
170,M sh شراونة محمد,2023-04-22 20:26:06,52275,0,0,Palestinian_cuisine,ar,10731,1
171,MenoBot,2023-02-05 07:49:23,52098,0,0,Palestinian_cuisine,ar,2575274,11
172,Ajwaan,2023-01-10 13:26:06,52164,0,1,Palestinian_cuisine,ar,149572,2
173,46.32.122.140,2023-01-10 11:58:35,52123,1,0,Palestinian_cuisine,ar,0,1
174,MenoBot,2022-12-27 23:12:39,52164,0,0,Palestinian_cuisine,ar,2575274,11
175,MenoBot,2022-12-24 16:05:42,52192,0,0,Palestinian_cuisine,ar,2575274,11
176,Osps7,2022-12-22 11:06:58,51759,0,1,Palestinian_cuisine,ar,34455,5
177,Moayad283801,2022-12-22 00:33:59,51729,1,0,Palestinian_cuisine,ar,155,11
178,Moayad283801,2022-12-22 00:31:59,51696,1,0,Palestinian_cuisine,ar,155,11
179,Moayad283801,2022-12-22 00:29:52,51659,1,0,Palestinian_cuisine,ar,155,11
180,Moayad283801,2022-12-22 00:21:00,51756,1,0,Palestinian_cuisine,ar,155,11
181,Ajwaan,2022-08-11 19:11:23,51759,0,0,Palestinian_cuisine,ar,149572,2
182,212.34.20.54,2022-08-11 19:02:50,51802,1,0,Palestinian_cuisine,ar,0,2
183,212.34.20.54,2022-08-11 19:01:00,51845,1,0,Palestinian_cuisine,ar,0,2
184,Osps7,2022-04-09 22:24:00,51759,0,1,Palestinian_cuisine,ar,34455,5
185,ادهم محمد علي ادهم المصراوي,2022-03-31 20:38:29,51771,1,0,Palestinian_cuisine,ar,982,2
186,ادهم محمد علي ادهم المصراوي,2022-03-31 20:36:58,51774,1,0,Palestinian_cuisine,ar,982,2
187,MenoBot,2022-03-02 08:35:10,51759,0,0,Palestinian_cuisine,ar,2575274,11
188,Meno25,2022-02-22 13:43:53,51806,0,0,Palestinian_cuisine,ar,259277,4
189,Meno25,2022-02-22 13:42:39,52176,0,0,Palestinian_cuisine,ar,259277,4
