,Article,Language,Month,Count
0,Slovak_National_Uprising,en,2023-04,1.0
1,Slovak_National_Uprising,en,2023-03,1.0
2,Slovak_National_Uprising,en,2020-09,1.0
3,Slovak_National_Uprising,en,2020-06,1.0
4,Slovak_National_Uprising,en,2019-04,1.0
5,Slovak_National_Uprising,sk,2023-10,1.0
6,Slovak_National_Uprising,sk,2023-08,1.0
7,Slovak_National_Uprising,sk,2023-05,1.0
8,Slovak_National_Uprising,sk,2023-02,2.0
9,Slovak_National_Uprising,sk,2022-05,5.0
10,Slovak_National_Uprising,sk,2021-09,1.0
11,Slovak_National_Uprising,sk,2021-08,1.0
12,Slovak_National_Uprising,sk,2021-07,1.0
13,Slovak_National_Uprising,sk,2021-05,1.0
14,Slovak_National_Uprising,sk,2021-02,2.0
15,Slovak_National_Uprising,sk,2020-12,1.0
16,Slovak_National_Uprising,sk,2020-05,1.0
17,Slovak_National_Uprising,sk,2019-09,1.0
18,Slovak_National_Uprising,sk,2019-03,5.0
19,Slovak_National_Uprising,sk,2019-02,1.0
20,Slovak_National_Uprising,sk,2018-09,1.0
21,Slovak_National_Uprising,sk,2018-08,2.0
22,Jozef_Tiso,en,2024-03,1.0
23,Jozef_Tiso,en,2024-02,1.0
24,Jozef_Tiso,en,2023-04,1.0
25,Jozef_Tiso,en,2023-03,2.0
26,Jozef_Tiso,en,2021-01,1.0
27,Jozef_Tiso,en,2020-07,1.0
28,Jozef_Tiso,en,2020-06,2.0
29,Jozef_Tiso,en,2019-11,1.0
30,Jozef_Tiso,en,2019-05,1.0
31,Jozef_Tiso,en,2019-01,1.0
32,Jozef_Tiso,en,2018-12,1.0
33,Jozef_Tiso,en,2018-06,1.0
34,Jozef_Tiso,sk,2024-03,1.0
35,Jozef_Tiso,sk,2024-01,3.0
36,Jozef_Tiso,sk,2023-10,1.0
37,Jozef_Tiso,sk,2022-11,5.0
38,Jozef_Tiso,sk,2022-08,1.0
39,Jozef_Tiso,sk,2022-02,3.0
40,Jozef_Tiso,sk,2022-01,11.0
41,Jozef_Tiso,sk,2021-12,1.0
42,Jozef_Tiso,sk,2021-11,3.0
43,Jozef_Tiso,sk,2021-09,1.0
44,Jozef_Tiso,sk,2021-06,1.0
45,Jozef_Tiso,sk,2021-05,1.0
46,Jozef_Tiso,sk,2021-01,1.0
47,Jozef_Tiso,sk,2020-12,1.0
48,Jozef_Tiso,sk,2020-10,2.0
49,Jozef_Tiso,sk,2020-07,1.0
50,Jozef_Tiso,sk,2020-06,3.0
51,Jozef_Tiso,sk,2019-09,1.0
52,Jozef_Tiso,sk,2019-07,2.0
53,Jozef_Tiso,sk,2019-05,7.0
54,Jozef_Tiso,sk,2019-04,1.0
55,Jozef_Tiso,sk,2019-03,2.0
56,Jozef_Tiso,sk,2019-01,1.0
57,Jozef_Tiso,sk,2018-12,3.0
58,Jozef_Tiso,sk,2018-06,1.0
59,Slovak_Republic_(1939-1945),en,,
60,Slovak_Republic_(1939-1945),sk,,
61,Slovak_People%27s_Party,en,2022-09,1.0
62,Slovak_People%27s_Party,en,2022-04,1.0
63,Slovak_People%27s_Party,en,2022-02,1.0
64,Slovak_People%27s_Party,en,2021-10,1.0
65,Slovak_People%27s_Party,en,2021-01,1.0
66,Slovak_People%27s_Party,en,2020-12,1.0
67,Slovak_People%27s_Party,en,2020-09,1.0
68,Slovak_People%27s_Party,en,2020-08,14.0
69,Slovak_People%27s_Party,en,2020-07,1.0
70,Slovak_People%27s_Party,en,2019-11,1.0
71,Slovak_People%27s_Party,sk,2019-04,1.0
72,Ján_Vojtaššák,en,,
73,Ján_Vojtaššák,sk,2023-11,1.0
74,Ján_Vojtaššák,sk,2023-01,1.0
75,Alexander_Mach,en,,
76,Alexander_Mach,sk,2023-04,1.0
77,Alexander_Mach,sk,2018-11,1.0
78,Andrej_Hlinka,en,2023-01,1.0
79,Andrej_Hlinka,en,2021-01,1.0
80,Andrej_Hlinka,sk,2024-01,2.0
81,Andrej_Hlinka,sk,2023-04,2.0
82,Andrej_Hlinka,sk,2023-03,1.0
83,Andrej_Hlinka,sk,2023-01,3.0
84,Andrej_Hlinka,sk,2022-11,2.0
85,Andrej_Hlinka,sk,2022-10,3.0
86,Andrej_Hlinka,sk,2022-01,1.0
87,Andrej_Hlinka,sk,2021-03,1.0
88,Andrej_Hlinka,sk,2020-05,1.0
89,Andrej_Hlinka,sk,2019-11,1.0
90,Andrej_Hlinka,sk,2019-07,1.0
91,Andrej_Hlinka,sk,2019-05,1.0
92,Andrej_Hlinka,sk,2018-05,1.0
