,Article,Language,Month,Count
0,Nakba,ar,2024-05,4.0
1,Nakba,ar,2024-04,1.0
2,Nakba,ar,2024-01,1.0
3,Nakba,ar,2023-12,4.0
4,Nakba,ar,2023-11,1.0
5,Nakba,ar,2023-10,2.0
6,Nakba,ar,2023-08,3.0
7,Nakba,ar,2023-06,2.0
8,Nakba,ar,2023-05,25.0
9,Nakba,ar,2023-01,4.0
10,Nakba,ar,2022-12,1.0
11,Nakba,ar,2022-07,5.0
12,Nakba,ar,2022-05,7.0
13,Nakba,ar,2022-04,2.0
14,Nakba,ar,2022-03,2.0
15,Nakba,ar,2022-02,2.0
16,Nakba,ar,2022-01,2.0
17,Nakba,ar,2021-12,1.0
18,Nakba,ar,2021-11,2.0
19,Nakba,ar,2021-07,2.0
20,Nakba,ar,2021-06,4.0
21,Nakba,ar,2021-05,7.0
22,Nakba,ar,2021-04,3.0
23,Nakba,ar,2021-02,2.0
24,Nakba,ar,2021-01,1.0
25,Nakba,ar,2020-12,2.0
26,Nakba,ar,2020-10,1.0
27,Nakba,ar,2020-07,3.0
28,Nakba,ar,2020-05,4.0
29,Nakba,ar,2020-04,1.0
30,Nakba,ar,2020-03,2.0
31,Nakba,ar,2020-02,1.0
32,Nakba,ar,2019-11,2.0
33,Nakba,ar,2019-09,3.0
34,Nakba,ar,2019-08,2.0
35,Nakba,ar,2019-01,3.0
36,Nakba,ar,2018-05,2.0
37,Nakba,ar,2018-04,3.0
38,Nakba,ar,2018-02,3.0
39,Nakba,ar,2018-01,1.0
40,Nakba,ar,2017-12,1.0
41,Nakba,ar,2017-10,1.0
42,Nakba,ar,2017-08,1.0
43,Nakba,ar,2017-02,1.0
44,Nakba,ar,2017-01,1.0
45,Nakba,ar,2016-11,2.0
46,Nakba,ar,2016-06,1.0
47,Nakba,ar,2016-05,5.0
48,Nakba,ar,2016-04,2.0
49,Nakba,ar,2016-03,2.0
50,Nakba,ar,2015-08,1.0
51,Nakba,ar,2015-06,1.0
52,Nakba,ar,2015-05,10.0
53,Nakba,ar,2015-03,2.0
54,Nakba,ar,2015-01,5.0
55,Nakba,ar,2014-11,4.0
56,Nakba,ar,2014-10,2.0
57,Nakba,ar,2014-06,2.0
58,Nakba,ar,2014-05,10.0
59,Nakba,ar,2014-04,2.0
