,Article,Language,Month,Count
0,Nakba,en,2024-05,7.0
1,Nakba,en,2024-04,50.0
2,Nakba,en,2024-03,45.0
3,Nakba,en,2024-02,67.0
4,Nakba,en,2024-01,112.0
5,Nakba,en,2023-12,121.0
6,Nakba,en,2023-11,188.0
7,Nakba,en,2023-10,124.0
8,Nakba,en,2023-09,4.0
9,Nakba,en,2023-07,1.0
10,Nakba,en,2023-05,17.0
11,Nakba,en,2023-04,2.0
12,Nakba,en,2023-03,7.0
13,Nakba,en,2023-02,3.0
14,Nakba,en,2023-01,4.0
15,Nakba,en,2022-12,12.0
16,Nakba,en,2022-11,3.0
17,Nakba,en,2022-10,3.0
18,Nakba,en,2022-09,6.0
19,Nakba,en,2022-08,4.0
20,Nakba,en,2022-06,7.0
21,Nakba,en,2022-05,6.0
22,Nakba,en,2022-04,5.0
23,Nakba,en,2022-03,3.0
24,Nakba,en,2021-12,3.0
25,Nakba,en,2021-11,5.0
26,Nakba,en,2021-10,1.0
27,Nakba,en,2021-08,4.0
28,Nakba,en,2021-06,1.0
29,Nakba,en,2021-05,17.0
30,Nakba,en,2021-04,119.0
31,Nakba,de,2024-05,30.0
32,Nakba,de,2024-04,25.0
33,Nakba,de,2024-03,8.0
34,Nakba,de,2024-02,26.0
35,Nakba,de,2024-01,6.0
36,Nakba,de,2023-11,5.0
37,Nakba,de,2023-10,10.0
38,Nakba,de,2023-08,2.0
39,Nakba,de,2023-07,10.0
40,Nakba,de,2023-06,5.0
41,Nakba,de,2023-05,2.0
42,Nakba,de,2023-03,2.0
43,Nakba,de,2023-01,2.0
44,Nakba,de,2022-12,4.0
45,Nakba,de,2022-11,5.0
46,Nakba,de,2022-08,1.0
47,Nakba,de,2022-07,4.0
48,Nakba,de,2022-05,4.0
49,Nakba,de,2022-03,3.0
50,Nakba,de,2021-12,1.0
51,Nakba,de,2021-11,1.0
52,Nakba,de,2021-10,2.0
53,Nakba,de,2021-05,6.0
54,Nakba,de,2021-04,2.0
55,Nakba,de,2020-09,4.0
56,Nakba,de,2020-08,1.0
57,Nakba,de,2020-06,1.0
58,Nakba,de,2020-05,1.0
59,Nakba,de,2020-03,3.0
60,Nakba,de,2019-12,1.0
61,Nakba,de,2019-09,1.0
62,Nakba,de,2019-07,1.0
63,Nakba,de,2019-06,4.0
64,Nakba,de,2019-05,1.0
65,Nakba,de,2019-04,2.0
66,Nakba,de,2019-03,1.0
67,Nakba,de,2019-01,1.0
68,Nakba,de,2018-09,3.0
69,Nakba,de,2018-08,1.0
70,Nakba,de,2018-06,1.0
71,Nakba,de,2018-05,4.0
72,Nakba,de,2018-04,4.0
73,Nakba,de,2018-03,1.0
74,Nakba,de,2017-09,1.0
75,Nakba,de,2017-07,8.0
76,Nakba,de,2017-06,11.0
77,Nakba,de,2017-03,5.0
78,Nakba,de,2017-01,1.0
79,Nakba,de,2016-12,3.0
80,Nakba,de,2016-11,1.0
81,Nakba,de,2016-01,2.0
82,Nakba,de,2015-11,1.0
83,Nakba,de,2015-07,1.0
84,Nakba,de,2015-04,2.0
85,Nakba,de,2014-12,2.0
86,Nakba,de,2014-08,1.0
87,Nakba,de,2014-04,3.0
88,Nakba,de,2014-03,4.0
89,Nakba,de,2013-10,2.0
90,Nakba,de,2013-09,1.0
91,Nakba,de,2013-06,1.0
92,Nakba,de,2013-05,3.0
93,Nakba,de,2013-04,2.0
94,Nakba,de,2013-02,2.0
95,Nakba,de,2013-01,2.0
96,Nakba,de,2012-12,3.0
97,Nakba,de,2012-11,5.0
98,Nakba,de,2012-09,2.0
99,Nakba,de,2012-07,3.0
100,Nakba,de,2012-06,2.0
101,Nakba,de,2012-05,5.0
102,Nakba,de,2012-04,1.0
103,Nakba,de,2012-03,3.0
104,Nakba,de,2012-01,1.0
105,Nakba,de,2011-11,1.0
106,Nakba,de,2011-10,2.0
107,Nakba,de,2011-09,1.0
108,Nakba,de,2011-08,4.0
109,Nakba,de,2011-07,2.0
110,Nakba,de,2011-05,1.0
111,Nakba,de,2011-04,6.0
112,Nakba,de,2011-02,1.0
113,Nakba,de,2010-11,5.0
114,Nakba,de,2010-08,5.0
115,Nakba,de,2010-07,1.0
116,Nakba,de,2010-06,5.0
117,Nakba,de,2010-05,1.0
118,Nakba,de,2010-04,8.0
119,Nakba,de,2009-11,1.0
120,Nakba,de,2009-09,2.0
121,Nakba,de,2009-08,2.0
122,Nakba,de,2009-07,27.0
123,Nakba,de,2009-06,1.0
124,Nakba,de,2009-05,2.0
125,Nakba,de,2009-04,1.0
126,Nakba,de,2009-03,1.0
127,Nakba,de,2008-12,3.0
128,Nakba,de,2008-11,1.0
129,Nakba,de,2008-10,4.0
130,Nakba,de,2008-09,2.0
131,Nakba,de,2008-08,4.0
132,Nakba,de,2008-06,17.0
133,Nakba,de,2008-05,5.0
134,Nakba,de,2008-03,1.0
135,Nakba,de,2007-11,1.0
136,Nakba,de,2007-10,3.0
137,Nakba,de,2007-08,2.0
138,Nakba,de,2007-06,4.0
139,Nakba,de,2007-05,8.0
140,Nakba,de,2007-04,1.0
141,Nakba,de,2006-10,2.0
142,Nakba,de,2006-08,1.0
143,Nakba,de,2006-07,1.0
144,Nakba,de,2006-06,1.0
145,Nakba,de,2006-03,3.0
146,Nakba,de,2006-01,1.0
147,Nakba,de,2005-08,2.0
148,Nakba,de,2005-07,1.0
