,Article,Language,Month,Count
0,Flight_and_expulsion_of_Germans_(1944–1950),en,,
1,Flight_and_expulsion_of_Germans_(1944–1950),de,,
2,Flight_and_expulsion_of_Germans_(1944–1950),cz,,
3,Flight_and_expulsion_of_Germans_(1944–1950),pl,,
4,Expulsion_of_Germans_from_Czechoslovakia,en,,
5,Expulsion_of_Germans_from_Czechoslovakia,de,,
6,Expulsion_of_Germans_from_Czechoslovakia,cz,,
7,Expulsion_of_Germans_from_Czechoslovakia,pl,,
8,Ústí_massacre,en,,
9,Ústí_massacre,de,,
10,Ústí_massacre,cz,,
11,Ústí_massacre,pl,,
12,Sudetenland,en,,
13,Sudetenland,de,,
14,Sudetenland,cz,,
15,Sudetenland,pl,,
16,Brno_death_march,en,,
17,Brno_death_march,de,,
18,Brno_death_march,cz,,
19,Brno_death_march,pl,,
20,Beneš_decrees,en,,
21,Beneš_decrees,de,,
22,Beneš_decrees,cz,,
23,Beneš_decrees,pl,,
24,Sudetendeutsche_Landsmannschaft,en,,
25,Sudetendeutsche_Landsmannschaft,de,,
26,Sudetendeutsche_Landsmannschaft,cz,,
27,Sudetendeutsche_Landsmannschaft,pl,,
28,German_Expellees,en,,
29,German_Expellees,de,,
30,German_Expellees,cz,,
31,German_Expellees,pl,,
32,Recovered_Territories,en,,
33,Recovered_Territories,de,,
34,Recovered_Territories,cz,,
35,Recovered_Territories,pl,,
36,Flight_and_expulsion_of_Germans_from_Poland_during_and_after_World_War_II,en,,
37,Flight_and_expulsion_of_Germans_from_Poland_during_and_after_World_War_II,de,,
38,Flight_and_expulsion_of_Germans_from_Poland_during_and_after_World_War_II,cz,,
39,Flight_and_expulsion_of_Germans_from_Poland_during_and_after_World_War_II,pl,,
40,Oder–Neisse_line,en,,
41,Oder–Neisse_line,de,,
42,Oder–Neisse_line,cz,,
43,Oder–Neisse_line,pl,,
